[2025-07-14 15:04:48] 127.0.0.1 GET /
[2025-07-14 15:06:49] 127.0.0.1 GET /game.html
[2025-07-14 15:06:49] 127.0.0.1 GET /css/gameStyle.css
[2025-07-14 15:06:50] 127.0.0.1 GET /images/fase1.jpg
[2025-07-14 15:06:50] 127.0.0.1 GET /js/gameJS.js
[2025-07-14 15:06:50] 127.0.0.1 GET /images/fase4.jpg
[2025-07-14 15:06:50] 127.0.0.1 GET /images/fase2.jpg
[2025-07-14 15:06:50] 127.0.0.1 GET /images/fase3.jpg
[2025-07-14 15:07:19] 127.0.0.1 GET /css/gameStyle.css
[2025-07-14 15:07:19] 127.0.0.1 GET /images/fase3.jpg
[2025-07-14 15:07:19] 127.0.0.1 GET /images/fase4.jpg
[2025-07-14 15:07:19] 127.0.0.1 GET /.well-known/appspecific/com.chrome.devtools.json
[2025-07-14 15:07:20] 127.0.0.1 GET /images/fase2.jpg
[2025-07-14 15:07:26] 127.0.0.1 GET /.well-known/appspecific/com.chrome.devtools.json
[2025-07-14 15:07:26] 127.0.0.1 GET /.well-known/appspecific/com.chrome.devtools.json
[2025-07-14 15:07:29] 127.0.0.1 GET /
[2025-07-14 15:07:29] 127.0.0.1 GET /.well-known/appspecific/com.chrome.devtools.json
